Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (Pa*s),Therm. Cond. (W/m*K),Phase
1283.4,12.75,21.688,0.046109,4044,4631.9,7.7377,2.0507,2.5633,854.13,1.11,4.88E-05,0.14728,vapor
1286.2,12.75,21.636,0.046219,4050,4639.3,7.7435,2.0523,2.5646,855.07,1.1024,4.89E-05,0.14771,vapor
1289.1,12.75,21.585,0.046328,4056,4646.7,7.7492,2.0539,2.5658,856.02,1.0949,4.90E-05,0.14814,vapor
1292,12.75,21.534,0.046438,4062,4654.1,7.7549,2.0556,2.5671,856.96,1.0874,4.91E-05,0.14857,vapor
1294.9,12.75,21.483,0.046548,4068,4661.5,7.7606,2.0572,2.5683,857.9,1.08,4.92E-05,0.149,vapor
1297.8,12.75,21.433,0.046657,4074,4668.9,7.7663,2.0588,2.5696,858.83,1.0726,4.93E-05,0.14943,vapor
1300.6,12.75,21.383,0.046767,4080,4676.3,7.772,2.0605,2.5709,859.77,1.0653,4.94E-05,0.14987,vapor
1303.5,12.75,21.333,0.046876,4086,4683.7,7.7777,2.0621,2.5722,860.7,1.0581,4.95E-05,0.1503,vapor
1306.4,12.75,21.283,0.046986,4092,4691.1,7.7834,2.0637,2.5734,861.64,1.0509,4.96E-05,0.15073,vapor
1309.3,12.75,21.234,0.047095,4098,4698.5,7.7891,2.0653,2.5747,862.57,1.0438,4.97E-05,0.15116,vapor
1312.1,12.75,21.184,0.047205,4104,4705.9,7.7947,2.067,2.576,863.5,1.0367,4.98E-05,0.1516,vapor
1315,12.75,21.135,0.047314,4110,4713.3,7.8004,2.0686,2.5773,864.43,1.0297,4.99E-05,0.15203,vapor
1317.9,12.75,21.087,0.047423,4116.1,4720.7,7.806,2.0702,2.5786,865.35,1.0227,5.00E-05,0.15246,vapor
1320.8,12.75,21.038,0.047533,4122.1,4728.1,7.8116,2.0718,2.5798,866.28,1.0158,5.01E-05,0.15289,vapor
1323.7,12.75,20.99,0.047642,4128.1,4735.6,7.8172,2.0735,2.5811,867.2,1.009,5.02E-05,0.15333,vapor
1326.5,12.75,20.942,0.047751,4134.2,4743,7.8228,2.0751,2.5824,868.13,1.0022,5.03E-05,0.15376,vapor
1329.4,12.75,20.894,0.04786,4140.2,4750.4,7.8284,2.0767,2.5837,869.05,0.99541,5.04E-05,0.15419,vapor
1332.3,12.75,20.847,0.04797,4146.3,4757.9,7.834,2.0783,2.585,869.97,0.98872,5.05E-05,0.15462,vapor
1335.2,12.75,20.799,0.048079,4152.3,4765.3,7.8396,2.0799,2.5863,870.89,0.98207,5.06E-05,0.15506,vapor
1338,12.75,20.752,0.048188,4158.4,4772.8,7.8452,2.0816,2.5876,871.8,0.97547,5.07E-05,0.15549,vapor
1340.9,12.75,20.705,0.048297,4164.4,4780.2,7.8507,2.0832,2.5889,872.72,0.96893,5.08E-05,0.15592,vapor
1343.8,12.75,20.659,0.048406,4170.5,4787.7,7.8563,2.0848,2.5902,873.63,0.96243,5.09E-05,0.15636,vapor
1346.7,12.75,20.612,0.048515,4176.5,4795.1,7.8618,2.0864,2.5915,874.55,0.95598,5.10E-05,0.15679,vapor
1349.6,12.75,20.566,0.048624,4182.6,4802.6,7.8674,2.088,2.5928,875.46,0.94958,5.11E-05,0.15722,vapor
1352.4,12.75,20.52,0.048733,4188.7,4810,7.8729,2.0896,2.5941,876.37,0.94323,undefined,undefined,vapor
1355.3,12.75,20.474,0.048842,4194.8,4817.5,7.8784,2.0912,2.5954,877.28,0.93693,undefined,undefined,vapor
1358.2,12.75,20.429,0.048951,4200.9,4825,7.8839,2.0928,2.5967,878.18,0.93068,undefined,undefined,vapor
1361.1,12.75,20.383,0.049059,4206.9,4832.5,7.8894,2.0944,2.5981,879.09,0.92447,undefined,undefined,vapor
1363.9,12.75,20.338,0.049168,4213,4839.9,7.8949,2.096,2.5994,880,0.9183,undefined,undefined,vapor
1366.8,12.75,20.293,0.049277,4219.1,4847.4,7.9004,2.0976,2.6007,880.9,0.91219,undefined,undefined,vapor
1369.7,12.75,20.249,0.049386,4225.2,4854.9,7.9059,2.0992,2.602,881.8,0.90612,undefined,undefined,vapor
1372.6,12.75,20.204,0.049494,4231.3,4862.4,7.9113,2.1008,2.6033,882.7,0.90009,undefined,undefined,vapor
1375.5,12.75,20.16,0.049603,4237.4,4869.9,7.9168,2.1024,2.6046,883.6,0.89411,undefined,undefined,vapor
1378.3,12.75,20.116,0.049712,4243.6,4877.4,7.9222,2.104,2.6059,884.5,0.88817,undefined,undefined,vapor
1381.2,12.75,20.072,0.04982,4249.7,4884.9,7.9277,2.1056,2.6073,885.4,0.88228,undefined,undefined,vapor
1384.1,12.75,20.028,0.049929,4255.8,4892.4,7.9331,2.1072,2.6086,886.3,0.87643,undefined,undefined,vapor
1387,12.75,19.985,0.050038,4261.9,4899.9,7.9385,2.1088,2.6099,887.19,0.87062,undefined,undefined,vapor
1389.8,12.75,19.942,0.050146,4268.1,4907.4,7.9439,2.1103,2.6112,888.08,0.86486,undefined,undefined,vapor
1392.7,12.75,19.899,0.050255,4274.2,4914.9,7.9493,2.1119,2.6125,888.98,0.85914,undefined,undefined,vapor
1395.6,12.75,19.856,0.050363,4280.3,4922.5,7.9547,2.1135,2.6138,889.87,0.85346,undefined,undefined,vapor
1398.5,12.75,19.813,0.050472,4286.5,4930,7.9601,2.1151,2.6152,890.76,0.84782,undefined,undefined,vapor
1401.4,12.75,19.771,0.05058,4292.6,4937.5,7.9655,2.1167,2.6165,891.65,0.84222,undefined,undefined,vapor
1404.2,12.75,19.728,0.050688,4298.8,4945,7.9708,2.1182,2.6178,892.53,0.83666,undefined,undefined,vapor
